name,theme-primary,theme-secondary::Health,theme-secondary::Environment,theme-secondary::Education,theme-secondary::Finance,theme-secondary::Society,theme-secondary::Defence,theme-secondary::Transportation,theme-secondary::Location,theme-secondary::Spending data,theme-secondary::Government,theme-secondary::Spending
castlemartin_firing_programme_mod,,True,,,,,True,,,,True,
dartmoor_firing_programme_mod,Health,True,True,,,,True,,,,True,
exceptions-to-government-moratoria-mod,Spending,,,,,,True,,,,,
holcombe-moor-firing-programme-2012,,True,,,,,True,,,,True,
iraq-polling-data,,,,,,,True,,,,,
lulworth-firing-notice,Health,True,True,,,,True,,,,True,
mod_estate_information,,,True,,,,True,,,,True,
otterburn_firing_programme_mod,Health,True,,,,,True,,,,,
performance-related-pay-ministry-of-defence,,,,,,,True,,,,,
quarterly-data-summaries-ministry-of-defence,Spending,,,,,,True,,,,,
senior-staff-meetings-with-external-organisations-ministry-of-defence,,,,,,,True,,,,True,
special-advisers-meetings-with-newspaper-and-other-media-proprietor-editors-and-senior-executives,,,,,,,True,,,,True,
staff-organograms-and-pay-mod-june-2010-february-2011,Spending,,,,,,True,,,,,
