name,theme-primary,theme-secondary::Health,theme-secondary::Environment,theme-secondary::Education,theme-secondary::Finance,theme-secondary::Society,theme-secondary::Defence,theme-secondary::Transportation,theme-secondary::Location,theme-secondary::Spending data,theme-secondary::Government,theme-secondary::Spending
__,,,,,,,,,,,,
01-2010-11,,,,,,,,,,,,
10k-sheet-data-files,,,,,,,,,,,,
1-1056-scale-town-plans-1848-1939,,,,,,,,,,,,
1-1-5m-scale-geology-through-climate-change-poster-map-covering-uk-mainland-northern-ireland-an,,,,,,,,,,,,
1-1-5m-scale-geology-through-climate-change-poster-map-covering-uk-mainland-northern-ireland-t2,Environment,,,,,,,,,,,
1-250000-soils-of-scotland,,,,,,,,,,,,
13-butadiene-running-annual-mean-at-automatic-sites-comparison-with-health-objective-for-2003-u-2010,Health,,,,,,,,,,,
1-50-000-scale-gazetteer,,,,,,,,,,,,
1-50000-scale-gazetteer,,,,,,,,,,,,
1-500-scale-town-plans-1848-1939,,,,,,,,,,,,
1-528-scale-town-plans-1848-1939,,,,,,,,,,,,
15th-percentile-house-prices-land-registry,Environment,,True,,,,,,,,,
1987-ongoing-met-office-marine-automatic-weather-station-maws-meteorological-observations,,,,,,,,,,,,
1m-composite-lidar-digital-surface-model,,,,,,,,,,,,
1m-composite-lidar-digital-surface-model-jpeg,,,,,,,,,,,,
1m-composite-lidar-digital-terrain-model,,,,,,,,,,,,
1m-composite-lidar-digital-terrain-model-jpeg,,,,,,,,,,,,
1m-lidar-digital-terrain-and-digital-surface-model,,,,,,,,,,,,
2001-welsh-dasymetric-surfaces,,,,,,,,,,,,
2001-welsh-dasymetric-surfaces-for-vale-of-glamorgan-rhondda-cynon-taff-bridgend-and-cardiff-ar,,,,,,,,,,,,
2001-welsh-output-areas-clipped-to-the-1991-census-coastline,,,,,,,,,,,,
2005-aerial-photography,,,,,,,,,,,,
___2008_injury_road_traffic_collisions_in_northern_ireland,,,,,,,,,,,,
2008_injury_road_traffic_collisions_in_northern_ireland,,,,,,,,,,,,
2009-aerial-photography,,,,,,,,,,,,
2010-august-financial-transactions-data-rjah-hospital-nhs-trust,,,,,,,,,,,,
2010_december_return,,,,,,,,,,,,
2010-finance-survey-of-mid-cap-businesses,Finance,,,,,True,,,,,,
2010-july-financial-transactions-data-rjah-hospital-nhs-trust,,,,,,,,,,,,
2010-november-return,,,,,,,,,,,,
2010-september-financial-transactions-data-rjah-hospital-nhs-trust,,,,,,,,,,,,
2011_april_return,,,,,,,,,,,,
2011_august_return,,,,,,,,,,,,
2011_census,,,,,,,,,,,,
2011_census_,,,,,,,,,,,,
2011_census__,,,,,,,,,,,,
2011_census_analysis,,,,,,,,,,,,
2011decemberreturn,,,,,,,,,,,,
2011-expenses,Health,,,,,,,,,,,
2011_february_return,,,,,,,,,,,,
_2011_financial_transactions_data_worcestershire_acute_hospitals_nhs_trust,Spending,True,,,,,,,,,,
2011_july_return,,,,,,,,,,,,
2011_june_report,,,,,,,,,,,,
2011_june_return,,,,,,,,,,,,
2011_march_return,,,,,,,,,,,,
2011_may_return,,,,,,,,,,,,
2011novemberreturn,,,,,,,,,,,,
2011-november-return,Health,True,,,,,,,,,,
2011octoberreturn,,,,,,,,,,,,
2011septemberreturn,,,,,,,,,,,,
2011-skills-for-life-survey-anonymised-dataset,Education,,,,,True,,,,,,
2012aprilreturn,,,,,,,,,,,,
2012-april-return,Health,,,,,,,,,,,
2012februaryreturn,,,,,,,,,,,,
2012januaryreturn,Spending,True,,,,,,,,,,
2012-july-return,Spending,True,,,,,,,,,,
2012-june-return,Health,,,,,,,,,,,
2012marchreturn,,,,,,,,,,,,
2012mayreturn,Health,,,,,,,,,,,
2012octoberreturn,Spending,True,,,,,,,,,,
2012_october_return,Spending,True,,,,,,,,,,
2050-pathways-call-for-evidence,,,,,,,,,,,,
25cm-composite-lidar-digital-surface-model,,,,,,,,,,,,
25cm-composite-lidar-digital-surface-model-jpeg,,,,,,,,,,,,
25cm-composite-lidar-digital-terrain-model,,,,,,,,,,,,
25cm-composite-lidar-digital-terrain-model-jpeg,,,,,,,,,,,,
25cm-lidar-digital-terrain-and-digital-surface-model,,,,,,,,,,,,
25k_monthly_expenditure,Health,True,,,,,,,,,,
25k-transaction-december-2012,Health,True,,,True,,,,,,,
25ktransactionmarch,Health,True,,,,,,,,,,
2m-composite-lidar-digital-surface-model,,,,,,,,,,,,
2m-composite-lidar-digital-surface-model-jpeg,,,,,,,,,,,,
2m-composite-lidar-digital-terrain-model,,,,,,,,,,,,
2m-composite-lidar-digital-terrain-model-jpeg,,,,,,,,,,,,
2m-lidar-digital-terrain-and-digital-surface-model,,,,,,,,,,,,
300911_eh_organogram_ver1,Government,,,,,,,,,,True,
50cm-composite-lidar-digital-surface-model,,,,,,,,,,,,
50cm-composite-lidar-digital-surface-model-jpeg,,,,,,,,,,,,
50cm-composite-lidar-digital-terrain-model,,,,,,,,,,,,
50cm-composite-lidar-digital-terrain-model-jpeg,,,,,,,,,,,,
50cm-lidar-digital-surface-and-digital-terrain-model,,,,,,,,,,,,
50k-sheet-data-files,,,,,,,,,,,,
50k-vector,,,,,,,,,,,,
5-day-payment-performance-national-institute-for-health-and-clinical-excellence,Spending,,,,,,,,,,True,
5-day-payment-target-better-payment-practice-code-bppc,Health,True,,,,,,,,,,
6-mile-fish-limit,,,,,,,,,,,,
aa-indices,,,,,,,,,,,,
abandoned-shopping-trolleys-bristol-rivers,,,,,,,,,,,,
abandoned_vehicles,Transportation,,True,,,,,,,,,
abandoned-vehicles,,,,,,,,,,,,
abandoned-vehicles-,,,,,,,,,,,,
abortions,,,,,,,,,,,,
__abortions_statistics,,,,,,,,,,,,
abortions_statistics,,,,,,,,,,,,
__abortion_statistics,,,,,,,,,,,,
abortion_statistics,,,,,,,,,,,,
__abortion_statistics_england_and_wales,,,,,,,,,,,,
abortion_statistics_england_and_wales,,,,,,,,,,,,
absenteeism_by_pupil_characteristics,,,,,,,,,,,,
__absenteeism_from_primary_schools_in_wales,,,,,,,,,,,,
absenteeism_from_primary_schools_in_wales,,,,,,,,,,,,
__absenteeism_from_secondary_schools_in_wales,,,,,,,,,,,,
absenteeism_from_secondary_schools_in_wales,,,,,,,,,,,,
abstraction-licences-in-force-and-new-licences-determined,Environment,,,,,,,,,,,
abstractions-from-non-tidal-surface-water-and-groundwater-by-use,Environment,,,,,,,,,,,
abstractions-from-nontotidal-surface-water-and-groundwater-by-use,,,,,,,,,,,,
__abstract_of_scottish_agricultural_statistics,,,,,,,,,,,,
abstract_of_scottish_agricultural_statistics,,,,,,,,,,,,
__abstract_of_statistics_for_benefits_national_insurance_contributions_and_indices_of_prices_and_ear,,,,,,,,,,,,
abstract_of_statistics_for_benefits_national_insurance_contributions_and_indices_of_prices_and_earn_,,,,,,,,,,,,
abstract_of_statistics_for_benefits_national_insurance_contributions_and_indices_of_prices_and_earni,,,,,,,,,,,,
___abuse_of_vulnerable_adults_in_england,,,,,,,,,,,,
abuse_of_vulnerable_adults_in_england,,,,,,,,,,,,
